No,RC ID,WB In,Lorry Number,check In,check In Time,Check In Time Difference,BDM,WB Out,check Out,check Out Time,BTM,Nett Weight,Adjustment,Accepted Weight
12,RC-14-00016,WB01,J8363,30/5/2025,0.320833333,,64250,WB01,30/5/2025,0.338194444,18500,45750,0,45750
17,RC-14-00020,WB01,B5288,30/5/2025,0.327083333,,54700,WB01,30/5/2025,0.35,20400,34300,0,34300
20,RC-13-00003,WB01,K9182,30/5/2025,0.329861111,,62800,WB02,30/5/2025,0.354861111,19950,42850,0,42850
26,RC-13-00006,WB01,C9182,30/5/2025,0.357638889,,63100,WB02,30/5/2025,0.373611111,19850,43250,0,43250
27,RC-13-00007,WB01,W5509,30/5/2025,0.3625,,63650,WB02,30/5/2025,0.377083333,19850,43800,0,43800
28,RC-13-00008,WB01,6838V,30/5/2025,0.372222222,,64350,WB02,30/5/2025,0.384722222,18450,45900,0,45900
29,RC-14-00027,WB01,D6838,30/5/2025,0.376388889,,60900,WB01,30/5/2025,0.390277778,18500,42400,0,42400
31,RC-14-00028,WB01,D8386,30/5/2025,0.374305556,,62050,WB01,30/5/2025,0.391666667,18250,43800,0,43800
32,RC-14-00029,WB01,J6838,30/5/2025,0.377777778,,64650,WB01,30/5/2025,0.393055556,18400,46250,0,46250
33,RC-14-00030,WB01,U3738,30/5/2025,0.38125,,58650,WB01,30/5/2025,0.395138889,18450,40200,0,40200
34,RC-13-00010,WB01,T9182,30/5/2025,0.384722222,,57600,WB02,30/5/2025,0.398611111,18200,39400,0,39400
35,RC-13-00011,WB01,K8386,30/5/2025,0.381944444,,65850,WB02,30/5/2025,0.4,18350,47500,0,47500
36,RC-13-00012,WB01,Y398,30/5/2025,0.386805556,,52550,WB02,30/5/2025,0.401388889,19750,32800,0,32800
37,RC-14-00031,WB01,T9693,30/5/2025,0.379861111,,51750,WB01,30/5/2025,0.402083333,15100,36650,0,36650
39,RC-14-00033,WB01,C511,30/5/2025,0.388194444,,54550,WB01,30/5/2025,0.408333333,18100,36450,0,36450
43,RC-14-00037,WB01,U5509,30/5/2025,0.4,,60050,WB01,30/5/2025,0.417361111,18400,41650,0,41650
44,RC-13-00013,WB01,J9301,30/5/2025,0.403472222,,51350,WB02,30/5/2025,0.417361111,15350,36000,0,36000
45,RC-13-00014,WB01,6838J,30/5/2025,0.404861111,,62900,WB02,30/5/2025,0.418055556,19100,43800,0,43800
46,RC-14-00038,WB01,D1759,30/5/2025,0.398611111,,58600,WB01,30/5/2025,0.420833333,19250,39350,0,39350
53,RC-14-00043,WB01,Y511,30/5/2025,0.418055556,,47300,WB01,30/5/2025,0.436805556,15500,31800,0,31800
55,RC-13-00018,WB01,W2206,30/5/2025,0.428472222,,59250,WB02,30/5/2025,0.442361111,18600,40650,0,40650
56,RC-13-00019,WB01,9483X,30/5/2025,0.43125,,49450,WB02,30/5/2025,0.444444444,14950,34500,0,34500
57,RC-13-00020,WB01,W3868,30/5/2025,0.433333333,,65950,WB02,30/5/2025,0.445833333,18100,47850,0,47850
61,RC-13-00021,WB01,Q8386,30/5/2025,0.438888889,,67100,WB02,30/5/2025,0.454861111,19150,47950,0,47950
62,RC-13-00022,WB01,K9182,30/5/2025,0.441666667,,62700,WB02,30/5/2025,0.45625,19950,42750,0,42750
64,RC-14-00047,WB01,U5519,30/5/2025,0.445138889,,59450,WB01,30/5/2025,0.463888889,19350,40100,0,40100
